Sample	Unique Reads	Duplicate Reads
SRR24516459_1	1048777	9120053
SRR24516459_2	1056863	9111967
SRR24516460_1	911234	8597854
SRR24516460_2	960853	8548235
SRR24516461_1	1017883	7654880
SRR24516461_2	1050102	7622661
SRR24516462_1	1210739	7747681
SRR24516462_2	1258946	7699474
SRR24516463_1	1445333	7509810
SRR24516463_2	1464996	7490147
SRR24516464_1	1478847	7938906
SRR24516464_2	1509040	7908713
